,latitude,longitude
865206,41.702347,-105.218185
865207,41.720806,-105.22104
865208,41.739265,-105.22391
865209,41.757725,-105.226776
865210,41.77619,-105.229645
865211,41.794662,-105.23251
865212,41.81312,-105.23538
865213,41.831577,-105.23825
865214,41.850037,-105.24112
865215,41.868515,-105.24399
866290,41.70447,-105.19345
866291,41.72294,-105.19632
866292,41.741398,-105.19916
866293,41.75986,-105.20203
866294,41.77832,-105.20488
866295,41.79679,-105.20773
866296,41.815254,-105.2106
866297,41.833717,-105.21347
866298,41.85218,-105.21634
866299,41.870644,-105.21919
